Date,Campaign_Name,Ad_Set,Creative_Angle,Spend,Impressions,Reach,CPM,CTR,Thumbstop_Rate,Video_Views_3s,Video_Views_25,Video_Views_100,Saves,Shares,Comments,Clicks
2026-03-03,Summer Reset,Couples 25-45,Pool-to-Sea,1698,37236,33648,45.6,2.04,40.7,15155,10489,5290,249,87,25,759
2026-03-03,Weekend Escape,Leisure 28-50,Snorkeling First Shot,1770,36270,32831,48.8,2.84,49.9,18098,14836,9186,217,68,37,1030
2026-03-03,"Sea, Pool, Repeat",Families 30-48,Resort Beauty,1418,20056,17178,70.7,1.85,27.5,5515,4312,2081,56,20,7,371
2026-03-03,Room With A View,Luxury 35-55,Pool-to-Sea,3133,75312,65710,41.6,3.7,48.0,36149,27202,11698,452,155,74,2786
2026-03-03,Room With A View,Luxury 35-55,Resort Beauty,1342,31725,28455,42.3,1.41,16.4,5202,4046,2319,70,21,10,447
2026-03-10,Summer Reset,Couples 25-45,Morning Calm,2501,37779,33693,66.2,2.25,26.7,10086,7853,3370,113,35,13,850
2026-03-10,Summer Reset,Couples 25-45,Resort Beauty,1164,29393,24718,39.6,1.22,20.7,6084,4496,1945,27,9,4,358
2026-03-10,Weekend Escape,Leisure 28-50,Couple Escape,1452,35157,30695,41.3,1.9,35.7,12551,9815,5444,178,74,19,667
2026-03-10,Weekend Escape,Leisure 28-50,Resort Beauty,2311,51932,44234,44.5,2.06,19.6,10178,7007,3382,142,40,19,1069
2026-03-10,"Sea, Pool, Repeat",Families 30-48,Pool-to-Sea,1726,32627,28852,52.9,2.43,45.1,14714,11668,6134,284,106,41,792
2026-03-10,"Sea, Pool, Repeat",Families 30-48,Couple Escape,1914,29044,26637,65.9,2.88,36.9,10717,7885,3751,174,57,24,836
2026-03-10,Room With A View,Luxury 35-55,Morning Calm,2205,34669,31686,63.6,2.51,30.0,10400,7777,3638,90,28,11,870
2026-03-10,Snorkel Morning,Divers 22-40,Pool-to-Sea,3370,50906,42693,66.2,2.6,45.9,23365,17408,9436,296,118,33,1323
2026-03-17,Summer Reset,Couples 25-45,Morning Calm,3676,74412,62452,49.4,2.33,36.6,27234,20820,12105,273,113,35,1733
2026-03-17,Summer Reset,Couples 25-45,Resort Beauty,1615,28283,24218,57.1,1.05,29.0,8202,6035,2799,49,20,6,296
2026-03-17,Weekend Escape,Leisure 28-50,Pool-to-Sea,3023,46012,42689,65.7,2.76,42.2,19417,14997,9138,304,110,53,1269
2026-03-17,Weekend Escape,Leisure 28-50,Morning Calm,2606,68219,61450,38.2,2.04,32.2,21966,15033,7307,215,74,30,1391
