Date,Campaign_Name,Ad_Group,Hook_Type,Creator_Style,Spend,Impressions,CPM,CTR,Views_2s,Views_6s,Avg_Watch_Time,Completion_Rate,Shares,Comments,Clicks
2026-03-05,Summer Reset,Travel Intent 22-38,Snorkeling First Shot,Selfie Walkthrough,1236,22762,54.3,2.45,15561,4082,6.2,22.1,158,69,557
2026-03-05,Weekend Escape,Leisure 25-45,POV Vacation,Voiceover,1387,37284,37.2,5.58,26423,12975,10.6,50.2,139,67,2080
2026-03-05,Weekend Escape,Leisure 25-45,Fast Reveal,Selfie Walkthrough,2872,95415,30.1,4.34,66710,21475,6.1,32.1,660,238,4141
2026-03-05,Weekend Escape,Leisure 25-45,Creator Intro,Voiceover,2356,39071,60.3,5.62,22129,12479,10.8,42.3,145,66,2195
2026-03-05,Weekend Escape,Leisure 25-45,Creator Intro,Cinematic,1517,37272,40.7,4.37,23124,15229,15.5,55.7,238,91,1628
2026-03-05,Weekend Escape,Leisure 25-45,Snorkeling First Shot,Cinematic,2869,54030,53.1,3.77,31037,20563,22.2,54.9,426,253,2036
2026-03-05,"Sea, Pool, Repeat",Families 28-48,POV Vacation,UGC Creator,1581,53593,29.5,5.85,30898,15190,9.2,36.5,369,163,3135
2026-03-05,"Sea, Pool, Repeat",Families 28-48,POV Vacation,Cinematic,1822,64154,28.4,3.54,37994,29502,16.0,62.1,403,166,2271
2026-03-05,"Sea, Pool, Repeat",Families 28-48,Fast Reveal,Cinematic,2459,40577,60.6,3.64,29351,12715,10.6,41.4,260,191,1477
2026-03-05,"Sea, Pool, Repeat",Families 28-48,Creator Intro,Cinematic,1816,37676,48.2,3.06,22813,13845,18.2,54.9,141,76,1152
2026-03-05,"Sea, Pool, Repeat",Families 28-48,Pool-to-Sea,Voiceover,2081,64228,32.4,3.89,47921,20499,12.4,48.6,285,199,2498
2026-03-05,Room With A View,Luxury 30-55,Fast Reveal,Selfie Walkthrough,1053,22891,46.0,4.46,15494,6371,6.7,34.1,184,88,1020
2026-03-05,Room With A View,Luxury 30-55,Fast Reveal,Voiceover,1276,23032,55.4,3.69,14367,5813,9.0,35.7,121,70,849
2026-03-05,Room With A View,Luxury 30-55,Snorkeling First Shot,Cinematic,1637,37289,43.9,1.65,25609,7919,10.3,30.9,145,97,615
2026-03-05,Room With A View,Luxury 30-55,Snorkeling First Shot,Voiceover,1720,30769,55.9,1.84,20482,7541,6.6,29.2,269,150,566
2026-03-05,Snorkel Morning,Outdoor 20-38,Fast Reveal,Cinematic,1297,23974,54.1,3.84,14772,8800,12.6,52.4,78,40,920
2026-03-05,Snorkel Morning,Outdoor 20-38,Creator Intro,Cinematic,783,16346,47.9,4.34,9574,8339,16.2,60.2,122,88,709
2026-03-05,Snorkel Morning,Outdoor 20-38,Pool-to-Sea,Selfie Walkthrough,861,16306,52.8,4.23,11883,5209,8.8,41.7,103,73,689
2026-03-05,Snorkel Morning,Outdoor 20-38,Snorkeling First Shot,Voiceover,1354,28445,47.6,2.01,19089,4929,7.4,23.7,109,58,571
2026-03-12,Summer Reset,Travel Intent 22-38,Creator Intro,UGC Creator,874,25406,34.4,6.16,14742,6459,9.7,36.4,112,43,1565
2026-03-12,Summer Reset,Travel Intent 22-38,Pool-to-Sea,Voiceover,1900,32148,59.1,3.62,20995,13118,13.4,60.3,257,121,1163
2026-03-12,Summer Reset,Travel Intent 22-38,Snorkeling First Shot,Selfie Walkthrough,1133,19842,57.1,5.23,11243,6463,12.0,39.3,170,101,1037
2026-03-12,Weekend Escape,Leisure 25-45,Fast Reveal,Cinematic,1863,49416,37.7,3.45,33365,17807,11.0,48.6,355,264,1704
2026-03-12,Weekend Escape,Leisure 25-45,Pool-to-Sea,Cinematic,1027,23609,43.5,2.6,14950,10393,15.6,59.2,78,41,613
2026-03-12,Weekend Escape,Leisure 25-45,Pool-to-Sea,UGC Creator,2500,43478,57.5,3.47,24793,13820,9.1,37.4,204,145,1508
2026-03-12,Weekend Escape,Leisure 25-45,Snorkeling First Shot,Cinematic,633,15591,40.6,1.62,11633,3372,10.0,28.2,71,25,252
2026-03-12,Weekend Escape,Leisure 25-45,Snorkeling First Shot,Voiceover,2752,93605,29.4,1.93,56647,17132,6.7,22.5,688,408,1806
2026-03-12,"Sea, Pool, Repeat",Families 28-48,Fast Reveal,Voiceover,1349,39444,34.2,3.29,22371,11834,7.4,37.0,318,180,1297
2026-03-12,"Sea, Pool, Repeat",Families 28-48,Pool-to-Sea,Selfie Walkthrough,2684,72737,36.9,4.49,40274,21080,10.0,36.4,506,252,3265
2026-03-12,"Sea, Pool, Repeat",Families 28-48,Snorkeling First Shot,Selfie Walkthrough,1398,34862,40.1,2.17,19666,5537,6.1,18.7,215,155,756
2026-03-12,Room With A View,Luxury 30-55,Fast Reveal,Selfie Walkthrough,1307,38783,33.7,4.23,22416,8663,5.5,26.7,180,87,1640
2026-03-12,Room With A View,Luxury 30-55,Fast Reveal,Cinematic,2129,39794,53.5,2.8,23354,12227,11.1,46.6,341,186,1114
2026-03-12,Room With A View,Luxury 30-55,Snorkeling First Shot,Cinematic,2154,49631,43.4,1.54,29497,9709,9.1,27.2,401,216,764
2026-03-12,Snorkel Morning,Outdoor 20-38,POV Vacation,Voiceover,3070,51252,59.9,5.24,31045,14663,11.3,40.3,372,130,2685
2026-03-12,Snorkel Morning,Outdoor 20-38,Fast Reveal,UGC Creator,2324,39862,58.3,4.1,24627,9480,6.6,31.9,250,179,1634
2026-03-12,Snorkel Morning,Outdoor 20-38,Snorkeling First Shot,UGC Creator,1124,33753,33.3,5.68,20161,11066,11.7,41.1,129,96,1917
2026-03-12,Snorkel Morning,Outdoor 20-38,Snorkeling First Shot,Voiceover,2551,45472,56.1,4.13,26486,18171,11.9,58.5,376,180,1877
2026-03-19,Summer Reset,Travel Intent 22-38,POV Vacation,Voiceover,1729,50852,34.0,5.42,31791,13372,12.2,39.3,308,168,2756
2026-03-19,Summer Reset,Travel Intent 22-38,POV Vacation,Selfie Walkthrough,1461,31760,46.0,5.96,17786,9589,8.3,39.3,165,70,1892
2026-03-19,Summer Reset,Travel Intent 22-38,Fast Reveal,UGC Creator,2510,40746,61.6,4.67,25161,8729,7.4,27.0,244,176,1902
2026-03-19,Summer Reset,Travel Intent 22-38,Fast Reveal,Cinematic,2681,64602,41.5,2.93,45650,20431,12.5,46.0,479,177,1892
2026-03-19,Summer Reset,Travel Intent 22-38,Creator Intro,UGC Creator,1767,42784,41.3,5.56,25409,14172,9.2,43.4,235,117,2378
2026-03-19,Summer Reset,Travel Intent 22-38,Pool-to-Sea,Voiceover,1215,27803,43.7,2.54,18222,9758,15.4,53.2,113,79,706
2026-03-19,Summer Reset,Travel Intent 22-38,Snorkeling First Shot,Selfie Walkthrough,1323,27166,48.7,5.58,19286,6980,10.0,35.1,183,126,1515
2026-03-19,Summer Reset,Travel Intent 22-38,Snorkeling First Shot,Cinematic,796,26013,30.6,1.57,19344,5953,11.9,29.3,205,104,408
2026-03-19,Weekend Escape,Leisure 25-45,Fast Reveal,Voiceover,1048,24372,43.0,3.83,14218,6620,7.8,37.4,152,95,933
2026-03-19,Weekend Escape,Leisure 25-45,Creator Intro,UGC Creator,1430,32062,44.6,6.24,19736,10466,9.6,45.0,102,76,2000
2026-03-19,Weekend Escape,Leisure 25-45,Creator Intro,Voiceover,1615,28333,57.0,5.22,20422,8592,11.6,46.2,152,60,1478
2026-03-19,Weekend Escape,Leisure 25-45,Pool-to-Sea,Cinematic,1785,29166,61.2,3.42,19511,16978,19.1,72.5,244,176,997
2026-03-19,Weekend Escape,Leisure 25-45,Pool-to-Sea,UGC Creator,2263,55601,40.7,4.05,36213,14805,10.1,32.6,498,206,2251
2026-03-19,Weekend Escape,Leisure 25-45,Snorkeling First Shot,Voiceover,1109,26032,42.6,2.23,17338,4275,8.3,22.7,111,39,580
2026-03-19,"Sea, Pool, Repeat",Families 28-48,POV Vacation,Cinematic,3170,54467,58.2,4.76,31221,22120,13.4,61.9,309,192,2592
2026-03-19,"Sea, Pool, Repeat",Families 28-48,Creator Intro,Cinematic,717,16482,43.5,4.17,10562,7334,19.4,58.0,52,29,687
2026-03-19,"Sea, Pool, Repeat",Families 28-48,Creator Intro,Selfie Walkthrough,831,23541,35.3,5.93,17069,7774,8.3,44.7,139,97,1395
2026-03-19,"Sea, Pool, Repeat",Families 28-48,Pool-to-Sea,Voiceover,1720,30175,57.0,3.3,20089,12239,13.7,56.5,106,63,995
2026-03-19,Room With A View,Luxury 30-55,Creator Intro,Selfie Walkthrough,2336,40068,58.3,4.13,23056,10098,7.5,37.5,132,75,1654
2026-03-19,Room With A View,Luxury 30-55,Creator Intro,UGC Creator,1472,27462,53.6,4.84,18094,8489,11.7,41.2,85,60,1329
2026-03-19,Room With A View,Luxury 30-55,Pool-to-Sea,Voiceover,3159,98718,32.0,3.48,60446,38956,14.0,59.5,796,308,3435
2026-03-19,Room With A View,Luxury 30-55,Snorkeling First Shot,Selfie Walkthrough,1882,52865,35.6,2.71,32179,6685,6.5,19.1,215,82,1432
2026-03-19,Room With A View,Luxury 30-55,Snorkeling First Shot,Voiceover,2779,97167,28.6,1.8,71709,17309,8.0,23.8,475,347,1749
2026-03-19,Snorkel Morning,Outdoor 20-38,POV Vacation,Selfie Walkthrough,2791,46362,60.2,5.38,31126,12119,8.5,33.9,250,147,2494
2026-03-19,Snorkel Morning,Outdoor 20-38,Creator Intro,Voiceover,757,13542,55.9,5.08,8002,5152,10.5,52.7,93,57,687
2026-03-19,Snorkel Morning,Outdoor 20-38,Pool-to-Sea,Cinematic,1415,45941,30.8,2.43,34406,19952,16.3,57.8,287,108,1116
2026-03-19,Snorkel Morning,Outdoor 20-38,Pool-to-Sea,Selfie Walkthrough,3059,78840,38.8,4.45,53312,34688,9.4,56.4,520,293,3508
2026-03-19,Snorkel Morning,Outdoor 20-38,Snorkeling First Shot,Voiceover,2074,48685,42.6,1.91,33774,6913,6.3,19.8,343,163,929
2026-03-26,Summer Reset,Travel Intent 22-38,POV Vacation,Voiceover,2346,42654,55.0,4.62,26636,17882,11.3,51.1,267,174,1970
2026-03-26,Summer Reset,Travel Intent 22-38,Fast Reveal,Cinematic,1207,31596,38.2,2.78,19836,10962,12.8,52.4,189,73,878
2026-03-26,Summer Reset,Travel Intent 22-38,Creator Intro,Voiceover,991,20907,47.4,3.92,15528,9174,12.3,54.9,123,70,819
2026-03-26,Summer Reset,Travel Intent 22-38,Snorkeling First Shot,UGC Creator,1742,39954,43.6,4.46,27371,11376,10.1,38.1,316,146,1781
2026-03-26,Summer Reset,Travel Intent 22-38,Snorkeling First Shot,Cinematic,2519,58581,43.0,4.28,37379,22725,16.5,46.7,238,165,2507
2026-03-26,Weekend Escape,Leisure 25-45,POV Vacation,Voiceover,2476,67282,36.8,5.0,41241,21285,10.6,44.7,523,312,3364
2026-03-26,Weekend Escape,Leisure 25-45,Fast Reveal,Selfie Walkthrough,2106,56612,37.2,5.01,34570,11789,5.9,26.2,172,128,2836
2026-03-26,Weekend Escape,Leisure 25-45,Creator Intro,UGC Creator,2995,65393,45.8,6.79,43644,21721,9.2,45.8,325,195,4440
2026-03-26,Weekend Escape,Leisure 25-45,Creator Intro,Cinematic,2640,67519,39.1,3.54,45554,29876,18.3,54.1,475,330,2390
2026-03-26,Weekend Escape,Leisure 25-45,Pool-to-Sea,Cinematic,2276,76891,29.6,2.97,46631,38648,20.1,62.8,567,259,2283
2026-03-26,Weekend Escape,Leisure 25-45,Pool-to-Sea,UGC Creator,672,15700,42.8,4.6,8735,5871,10.0,45.2,84,46,722
2026-03-26,"Sea, Pool, Repeat",Families 28-48,Fast Reveal,Selfie Walkthrough,1366,30154,45.3,4.87,20058,8368,5.6,33.5,100,35,1468
2026-03-26,"Sea, Pool, Repeat",Families 28-48,Fast Reveal,Voiceover,919,29837,30.8,4.74,21334,6355,8.6,32.5,187,77,1414
2026-03-26,"Sea, Pool, Repeat",Families 28-48,Snorkeling First Shot,Cinematic,1589,32362,49.1,3.0,21054,13451,18.4,54.9,100,35,970
2026-03-26,"Sea, Pool, Repeat",Families 28-48,Snorkeling First Shot,UGC Creator,2332,43752,53.3,2.77,32640,8544,6.0,24.1,183,70,1211
2026-03-26,Room With A View,Luxury 30-55,POV Vacation,Selfie Walkthrough,1403,28750,48.8,6.29,18518,8190,8.5,37.4,203,127,1808
2026-03-26,Room With A View,Luxury 30-55,POV Vacation,Voiceover,2701,46488,58.1,4.59,34155,15191,10.3,50.2,319,168,2133
2026-03-26,Room With A View,Luxury 30-55,Creator Intro,UGC Creator,978,21307,45.9,5.58,14234,5645,8.0,38.8,106,73,1188
2026-03-26,Room With A View,Luxury 30-55,Pool-to-Sea,Selfie Walkthrough,1878,38641,48.6,3.84,26756,10771,10.7,39.1,327,244,1483
2026-03-26,Room With A View,Luxury 30-55,Pool-to-Sea,Voiceover,2599,45837,56.7,3.04,27632,20641,14.0,53.9,209,104,1393
2026-03-26,Room With A View,Luxury 30-55,Snorkeling First Shot,Selfie Walkthrough,668,16741,39.9,6.31,9977,4546,10.9,41.2,136,73,1056
2026-03-26,Snorkel Morning,Outdoor 20-38,POV Vacation,Voiceover,2417,69057,35.0,6.23,46165,19553,12.4,37.6,335,214,4302
2026-03-26,Snorkel Morning,Outdoor 20-38,POV Vacation,Selfie Walkthrough,2625,43032,61.0,6.53,27402,11548,9.4,33.9,224,147,2809
2026-03-26,Snorkel Morning,Outdoor 20-38,Creator Intro,Selfie Walkthrough,3135,68750,45.6,5.55,46576,22042,10.3,42.1,571,408,3815
2026-03-26,Snorkel Morning,Outdoor 20-38,Creator Intro,Cinematic,1472,32210,45.7,3.69,23042,12169,16.8,47.7,241,91,1188
2026-04-02,Summer Reset,Travel Intent 22-38,POV Vacation,Selfie Walkthrough,2095,51348,40.8,6.34,31282,17893,8.9,42.1,314,122,3255
2026-04-02,Summer Reset,Travel Intent 22-38,Snorkeling First Shot,UGC Creator,2334,66685,35.0,4.95,41460,13332,9.2,30.0,332,121,3300
2026-04-02,Summer Reset,Travel Intent 22-38,Snorkeling First Shot,Cinematic,1890,30882,61.2,1.49,20685,7960,10.8,33.0,253,92,460
